date,y_true,y_pred
2015-01-02,-0.040675286769453076,0.0
2015-01-05,-0.027661260687341437,0.0
2015-01-06,-0.020849541666528196,0.0
2015-01-07,-0.019855706103462423,0.0
2015-01-08,-0.05487595144822869,0.0
2015-01-09,-0.014908874656224352,0.0
2015-01-12,0.015520729098435826,0.0
2015-01-13,0.04361812033324427,0.0
2015-01-14,0.04517019750493995,0.0
2015-01-15,0.05084030776574234,0.0
2015-01-16,0.0330770554298808,0.0
2015-01-20,0.031238237702589843,0.0
2015-01-21,-0.029044905703676356,0.0
2015-01-22,-0.030375059567709167,0.0
2015-01-23,-0.014585378610575758,0.0
2015-01-26,0.0012851623971170173,0.0
2015-01-27,0.028917662714692642,0.0
2015-01-28,0.05245132064037825,0.0
2015-01-29,0.06336963180295292,0.0
2015-01-30,0.05497936668465791,0.0
2015-02-02,0.025863521848187004,0.0
2015-02-03,-0.0016264908766663588,0.0
2015-02-04,0.00797630205848854,0.0
2015-02-05,0.006744040650152724,0.0
2015-02-06,0.02743284856641563,0.0
2015-02-09,0.02947373287365559,0.0
2015-02-10,0.017993870915997107,0.0
2015-02-11,0.02034642015396484,0.0
2015-02-12,0.002486383442176115,0.0
2015-02-13,-0.02255876039900035,0.0
2015-02-17,-0.02286236003296185,0.0
2015-02-18,-0.005426019123183061,0.0
2015-02-19,-0.019464089570899862,0.0
2015-02-20,-0.019053024289501768,0.0
2015-02-23,-0.021931782269018277,0.0
2015-02-24,-0.020981963816064198,0.0
2015-02-25,-0.027835312165495986,0.0
2015-02-26,-0.015106633439260945,0.0
2015-02-27,-0.028756768827229134,0.0
2015-03-02,-0.028961271658594405,0.0
2015-03-16,0.013133889977634932,0.001784711772564842
2015-03-17,0.010298464418640187,0.013133889977634932
2015-03-18,-0.005431258133261911,0.013133889977634932
2015-03-19,0.009390981209487535,0.013133889977634932
2015-03-20,-0.006653238539766223,0.013133889977634932
2015-03-23,0.018102401787696648,0.013133889977634932
2015-03-24,0.018867316373374483,0.013133889977634932
2015-03-25,0.005689112980121181,0.013133889977634932
2015-03-26,0.00891769969790005,0.013133889977634932
2015-03-27,0.034983005883875366,0.013133889977634932
2015-03-30,0.014375888568779919,0.013133889977634932
2015-03-31,0.012171016228396022,0.011061296747680196
2015-04-01,0.02834639589759691,0.011061296747680196
2015-04-02,0.030662457376270852,0.011061296747680196
2015-04-06,0.0027766469004323105,0.011061296747680196
2015-04-07,0.020008151837360846,0.011061296747680196
2015-04-08,0.05173886328573415,0.011061296747680196
2015-04-09,0.03352132921241481,0.011061296747680196
2015-04-10,0.02184603064451889,0.011061296747680196
2015-04-13,0.035656227387503646,0.011061296747680196
2015-04-14,0.007155247015519212,0.011061296747680196
2015-04-15,-0.009842689299312661,0.017407458571915706
